Action Unit,1,2,4,5,6,7,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,51,52,53,54,55,56,57,58,61,62,63,64,65
Description,Inner Brow Raiser,"Outer Brow Raiser (unilateral, right side)",Brow Lowerer,Upper Lid Raiser,Cheek Raiser,Lid Tightener,Nose Wrinkler,Upper Lip Raiser,Nasolabial Deepener,Lip Corner Puller,Cheek Puffer,Dimpler,Lip Corner Depressor,Lower Lip Depressor,Chin Raiser,Lip Puckerer,Lip stretcher,Neck tightener,Lip Funneler,Lip Tightener,Lip Pressor,Lips part,Jaw Drop,Mouth Stretch,Lip Suck,Jaw thrust,Jaw sideways,Jaw clencher,Lip bite,Cheek blow,Cheek puff,Cheek suck,Tongue bulge,Lip wipe,Nostril dilator,Nostril compressor,Sniff,Lid droop,Slit,Eyes Closed,Squint,Blink,Wink,Head Turn Left,Head Turn Right,Head Up,Head Down,Head Tilt Left,Head Tilt Right,Head Forward,Head Back,Eyes turn left,Eyes turn right,Eyes up,Eyes down,Walleye
Adj+Noun,raised inner brow,raised outer brow,lowered brow,raised upper lid,raised cheek,tightened lid,wrinkled nose,raised upper lip,deepened nasolabial,pulled lip corner,puffed cheek,dimpled cheek,depressed lip corner,depressed lower lip,raised chin,puckered lip,stretched lip,tightened neck,funneled lip,tightened lip,pressed lip,parted lips,droped jaw,stretched mouth,sucked lip,thrust jaw,sideways jaw,clenched jaw,bit lip,blown cheek,puffed cheek,sucked cheek,bulged tongue,wiped lip,dilated nostril,compressed nostril,sniffing nose,drooped lid,slit eyes,closed eyes,squint eye,,,,,,,,,,,,,,,
Noun,inner brow,outer brow,brow,upper lid,cheek,lid,nose,upper lip,nasolabial,lip corner,cheek,cheek,lip corner,lower lip,chin,lip,lip,neck,lip,lip,lip,lips,jaw,mouth,lip,jaw,jaw,jaw,lip,cheek,cheek,cheek,tongue,lip,nostril,nostril,nose,lid,eyes,eyes,eye,eyes,eye,head,head,head,head,head,head,head,head,eyes,eyes,eyes,eyes,
Adj1,raised,raised,lowered,raised,raised,tightened,wrinkled,raised,deepened,pulled,puffed,dimpling,depressed,depressed,raised,puckered,stretched,tightened,funneled,tightened,pressed,parted,dropped,stretched,sucked,thrust,sideways,clenched,bit,blown,puffed,sucked,bulged,wiped,dilated,compressed,sniffing,drooped,slit,closed,squint,blinking,winking,turned left,turned right,up,down,tilted left,tilted right,forward,back,turned left,turned right,up,down,getting walleyed
Adj2,lifted,lifted,down,lifted,lifted,narrowed,creased,lifted,,stretched,blown,,pushed down,pushed down,lifted,pursy,spread,constricted,,narrowed,pushed,separated,fallen,spread,pulled,pushed,,gritted,nipped,puffed,blown,drawn,swollen,,inflated,narrowed,snuffled,sagged,leering,shut,narrowed,,,moving left,moving right,raised,lowered,leaned left,leaned right,forth,backward,moving left,moving right,raised,lowered,
